#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1003,Buddy Kennedy,671083,671083,22505,10382,DET,2B,2B,Kennedy,Buddy
1004,Buddy Reed,642002,642002,sa738683,10860,TEX,OF,OF,Reed,Buddy
1005,Burch Smith,572143,572143,12784,8486,TB,RP,RP,Smith,Burch
1006,Burl Carraway,693310,693310,sa3014495,11074,CHC,RP,RP,Carraway,Burl
1007,Burle Dixon,687022,687022,sa1170041,,FA,OF,OF,Dixon,Burle
1008,Byce Tassin,687001,687001,sa3010814,,DET,RP,RP,Tassin,Byce
1009,Byron Buxton,621439,14161,14161,8674,MIN,DH,DH,Buxton,Byron
1010,Byron Castillo,808092,808092,sa3021171,,LAA,OF,OF,Castillo,Byron
1011,Byron Chourio,805102,805102,sa3018644,,MIN,OF,OF,Chourio,Byron
1012,C.J. Chatham,641453,641453,sa873984,10756,FA,SS,SS,Chatham,C.J.
1013,C.J. Cron,543068,12546,12546,8667,BOS,1B,1B,Cron,C.J.
1014,C.J. Culpepper,690217,690217,sa3020563,,MIN,SP,SP,Culpepper,C.J.
1015,C.J. Hinojosa,546994,546994,sa658616,,TB,SS,SS,Hinojosa,C.J.
1016,C.J. Kayfus,692216,692216,,,CLE,,,Kayfus,C.J.
1017,C.J. Stubbs,667690,667690,sa3010328,,HOU,C,C,Stubbs,C.J.
1018,Caberea Weaver,669015,669015,sa3006866,,CHW,OF,OF,Weaver,Caberea
1019,Cade Bunnell,685298,685298,sa3010702,,ATL,2B,2B,Bunnell,Cade
1020,Cade Cavalli,676917,676917,27473,10971,WSH,SP,SP,Cavalli,Cade
1021,Cade Denton,814106,814106,,,COL,P,P,Denton,Cade
1022,Cade Doughty,683103,683103,sa3020196,,TOR,2B,2B,Doughty,Cade
1023,Cade Fergus,681495,681495,sa3019919,,PHI,OF,OF,Fergus,Cade
1024,Cade Horton,690990,690990,sa3020860,11886,CHC,SP,SP,Horton,Cade
1025,Cade Hunter,687192,687192,sa3020199,,CIN,C,C,Hunter,Cade
1026,Cade Kuehler,805780,805780,,,ATL,P,P,Kuehler,Cade
1027,Cade Marlowe,687799,687799,25505,11657,SEA,OF,OF,Marlowe,Cade
1028,Cade Povich,700249,700249,sa3017787,11924,BAL,SP,SP,Povich,Cade
1029,Cade Smith,671922,671922,sa3015086,,CLE,RP,RP,Smith,Cade
1030,Cade Smith,694696,694696,,,NYY,P,P,Smith,Cade
1031,Cade Winquest,685464,685464,sa3020805,,STL,SP,SP,Winquest,Cade
1032,Caden Dana,702674,702674,sa3020181,,LAA,SP,SP,Dana,Caden
1033,Caden Grice,694364,694364,,,ARI,P,P,Grice,Caden
1034,Caden Monke,681387,681387,sa3017305,,KC,RP,RP,Monke,Caden
1035,Cadyn Grenier,663760,663760,sa3008140,,FA,SS,SS,Grenier,Cadyn
1036,Caeden Trenkle,689959,689959,sa3019991,,OAK,OF,OF,Trenkle,Caeden
1037,Cal Conley,695462,695462,sa3017080,,ATL,SS,SS,Conley,Cal
1038,Cal Mitchell,668751,668751,22169,10155,SD,OF,OF,Mitchell,Cal
1039,Cal Quantrill,615698,615698,19312,9959,COL,SP,SP,Quantrill,Cal
1040,Cal Raleigh,663728,663728,21534,10866,SEA,C,C,Raleigh,Cal
1041,Cal Stevenson,670276,670276,22411,10383,PHI,OF,OF,Stevenson,Cal
1042,Caleb Baragar,670056,670056,19231,11039,FA,RP,RP,Baragar,Caleb
1043,Caleb Bolden,676700,676700,sa3020463,,BOS,RP,RP,Bolden,Caleb
1044,Caleb Boushley,676961,676961,19736,11880,MIN,SP,SP,Boushley,Caleb
1045,Caleb Cali,687730,687730,,,SEA,,,Cali,Caleb
1046,Caleb Durbin,702332,702332,sa3017183,,NYY,SS,SS,Durbin,Caleb
