,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
44,Jhonny Level,2B,40,16.7916666,2024.0,SFG,,
45,Richard Matic,3B,40,16.4666666,2024.0,NYY,,
46,Luis Rives,RF,40,19.25,2024.0,HOU,,
47,Angel Brachi,2B,40,17.025,2024.0,TBR,,
48,Joswa Lugo,SS,40,16.9722222,2024.0,LAA,,
50,Paulino Santana,RF,40,17.1583333,2024.0,TEX,,
51,Jose Ramos,CF,40,17.2861111,2024.0,OAK,,
52,Leonardo Pineda,CF,40,16.7305555,2024.0,TBR,,
53,Edgar Montero,3B,40,17.1472222,2024.0,OAK,,
106,Woo-Suk Go,SIRP,40,25.6,2024.0,,sa3012630,SDP
107,Alek Jacob,SIRP,40,25.7388888,2024.0,,29628,SDP
161,José Buttó,SP,40,25.9805555,2024.0,,23313,NYM
162,Michael Mercado,SIRP,40,24.9083333,2024.0,,sa3005024,PHI
184,Dominic Fletcher,CF,40,26.5277777,2024.0,,26149,CHW
201,Shane Drohan,MIRP,40,25.1805555,2024.0,,sa3014447,CHW
207,Sawyer Gipson-Long,MIRP,40,26.25,2024.0,,26048,DET
221,Oliver Dunn,2B,40,26.5277777,2024.0,,sa3010595,MIL
225,Everson Pereira,LF,40,22.9222222,2024.0,,23695,NYY
230,Spencer Horwitz,1B,40,26.3277777,2024.0,,26477,TOR
232,Cody Morris,MIRP,40,27.3555555,2024.0,,25388,NYY
245,Clayton Beeter,SIRP,40,25.425,2024.0,,sa3014536,NYY
250,Dahian Santos,SP,40,21.0444444,2024.0,,sa3015282,TOR
252,Luis Gil,SIRP,40,25.775,2024.0,,21052,NYY
256,Hagen Danner,SIRP,40,25.45,2024.0,,22116,TOR
258,Yoendrys Gómez,MIRP,40,24.4083333,2024.0,,22872,NYY
259,Landon Knack,SP,40,27.1583333,2024.0,,sa3014518,LAD
270,Dasan Brown,CF,40,22.4638888,2024.0,,sa3011717,TOR
272,Hunter Feduccia,C,40,26.7694444,2024.0,,sa3007872,LAD
296,McKinley Moore,SIRP,40,25.55,2024.0,,25663,NYY
322,Ricky Vanasco,SIRP,40,25.4138888,2024.0,,sa3004863,LAD
325,Sauryn Lao,SIRP,40,24.5777777,2024.0,,sa917331,LAD
49,Baek-ho  Kang,1B,40,24.4583333,2025.0,,kr3012665,
56,Kaima Taira,SIRP,40,24.1638888,2025.0,,,
169,Tyler Stuart,SP,40,24.4277777,2025.0,,sa3020264,NYM
170,Christian McGowan,SIRP,40,24.0138888,2025.0,,sa3017896,PHI
209,Ky Bush,MIRP,40,24.3333333,2025.0,,sa3017386,CHW
215,Brant Hurter,MIRP,40,25.5166666,2025.0,,sa3018091,DET
216,Chad Dallas,SP,40,23.7111111,2025.0,,sa3018180,TOR
226,Andrew Baker,SIRP,40,23.9666666,2025.0,,sa3017196,PHI
228,Carlos F. Rodriguez,SP,40,22.2916666,2025.0,,sa3018116,MIL
229,Hao-Yu  Lee,2B,40,21.1083333,2025.0,,sa3017863,DET
242,Coleman Crow,SP,40,23.2,2025.0,,sa3015142,MIL
244,Sean Burke,MIRP,40,24.2333333,2025.0,,sa3017461,CHW
262,Shane Smith,SIRP,40,23.9388888,2025.0,,sa3020469,MIL
263,CJ Van Eyk,MIRP,40,25.4916666,2025.0,,sa3014713,TOR
269,Quinton Low,SIRP,40,21.5194444,2025.0,,sa3017921,MIL
278,Trey Sweeney,SS,40,23.8833333,2025.0,,sa3016973,LAD
295,Yerlin Rodriguez,SIRP,40,21.9722222,2025.0,,sa3015362,MIL
314,Jose Ramos,RF,40,23.1972222,2025.0,,sa3008845,LAD
193,Peyton Pallette,SP,40,22.8416666,2026.0,,sa3020742,CHW
217,Calvin Harris,C,40,22.325,2026.0,,sa3022496,CHW
222,Danny Serretti,SS,40,23.8472222,2026.0,,sa3019967,DET
224,Wilfred Veras,RF,40,21.325,2026.0,,sa3015178,CHW
236,Max Anderson,2B,40,22.0333333,2026.0,,sa3022567,DET
238,Grant Taylor,SIRP,40,21.8111111,2026.0,,,CHW
239,Brock Selvidge,SP,40,21.5388888,2026.0,,sa3017950,NYY
251,Seth Keener,SIRP,40,22.4388888,2026.0,,sa3022949,CHW
255,Tyler Woessner,SP,40,24.3777777,2026.0,,sa3020171,MIL
271,Roc Riggio,2B,40,21.7527777,2026.0,,sa3022750,NYY
276,Jadher Areinamo,2B,40,20.2888888,2026.0,,sa3015802,MIL
277,Kyle Carr,SP,40,21.85,2026.0,,,NYY
284,Antonio Gomez,C,40,22.3305555,2026.0,,sa3008746,NYY
285,Noah Miller,SS,40,21.3333333,2026.0,,sa3017512,LAD
318,Jake Gelof,3B,40,22.0472222,2026.0,,sa3022600,LAD
328,Eriq Swan,SIRP,40,22.3666666,2026.0,,,LAD
40,Hiroto Takahashi,SP,40,21.4305555,2027.0,,,
177,Aroon Escobar,2B,40,19.1972222,2027.0,,sa3018463,PHI
186,William Bergolla,SS,40,19.4222222,2027.0,,sa3019777,PHI
194,Emaarion Boyd,CF,40,20.5555555,2027.0,,sa3020281,PHI
202,Nikau Pouaka-Grego,2B,40,19.4972222,2027.0,,sa3018959,PHI
208,Cade Doughty,3B,40,22.9611111,2027.0,,sa3020196,TOR
218,Robert Moore,SS,40,21.95,2027.0,,sa3019928,PHI
237,Alan Roden,LF,40,24.2222222,2027.0,,sa3020212,TOR
257,Jacob Burke,CF,40,23.0444444,2027.0,,sa3019934,CHW
264,Keiner Delgado,2B,40,20.1861111,2027.0,,sa3018397,NYY
283,Dylan O'Rae,CF,40,20.0777777,2027.0,,sa3020220,MIL
300,Matthew Wood,C,40,23.0277777,2027.0,,sa3019924,MIL
55,Ju Won Kim,SS,40,21.4555555,2028.0,,kr3015141,
200,Paul Wilson,SP,40,19.2527777,2028.0,,,DET
210,Alexis De La Cruz,SP,40,19.4777777,2028.0,,sa3022007,PHI
214,Eric Bitonti,RF,40,18.3194444,2028.0,,sa3022866,MIL
223,Landen Maroudis,SP,40,19.2388888,2028.0,,sa3023351,TOR
231,George Wolkow,1B,40,18.1694444,2028.0,,sa3022817,CHW
235,Filippo Di Turi,SS,40,18.3416666,2028.0,,sa3021093,MIL
289,Juan Baez,3B,40,18.7083333,2028.0,,sa3018525,MIL
291,Alexander Albertus,3B,40,19.375,2028.0,,sa3018950,LAD
297,Samuel Munoz,1B,40,19.4722222,2028.0,,sa3018407,LAD
301,Jesus Tillero,SP,40,17.8611111,2028.0,,sa3021010,LAD
305,Brady Smith,SP,40,19.125,2028.0,,,LAD
310,Kendall George,CF,40,19.3694444,2028.0,,sa3022660,LAD
265,Hyun-Seok Jang,SP,40,19.9944444,2029.0,,,LAD
54,Min Suk Kim,CF,40,19.6805555,2030.0,,kr3020694,
243,Yunior Arias,RF,40,17.4333333,2030.0,,,TOR
249,Luis Peña,SS,40,17.3305555,2030.0,,,MIL
290,Richard Matic,3B,40,16.6277777,2030.0,,,NYY
108,Tirso Ornelas,LF,35+,24.0027777,2023.0,,sa3004048,SDP
57,Jesus Made,2B,35+,16.6833333,2024.0,MIL,,
58,Luis Manuel León,SS,35+,17.4805555,2024.0,STL,,
59,Franklin Rojas,C,35+,16.8166666,2024.0,TOR,,
60,Branneli Franco,SP,35+,16.9416666,2024.0,STL,,
61,Erick Matos,SP,35+,16.9833333,2024.0,OAK,,
62,Jalvin Arias,RF,35+,17.2861111,2024.0,PHI,,
63,Angel Feliz,3B,35+,17.1611111,2024.0,WSN,,
64,Stiven Martinez,RF,35+,16.4333333,2024.0,BAL,,
65,Eduardo Beltre,RF,35+,17.2611111,2024.0,MIN,,
66,Brailyn Brazoban,RF,35+,18.0138888,2024.0,PIT,,
67,Edward Lantigua,LF,35+,17.1972222,2024.0,NYM,,
68,Nestor Miranda,1B,35+,17.8916666,2024.0,DET,,
69,Yohendry Sanchez,C,35+,17.1805555,2024.0,SFG,,
70,Cesar Yanquiel Hernandez,OF,35+,20.7277777,2024.0,HOU,,
71,Eduardo Herrera,3B,35+,17.225,2024.0,CHW,,
76,Adam Plutko,SP,35+,32.2805555,2024.0,,15846,
